"VARIABLE1_LABEL","VARIABLE2_LABEL","EFFECT","EFFECT_L95","EFFECT_U95","N","P","P_FDR"
"atc_n02aa01","atc_h02ab02",0.106048381433349,0.0548808352350185,0.204921429429283,85,2.45e-11,2.49647422680412e-10
"atc_n02aa01","atc_n02aa05",0.0905501476432488,0.0618652143156322,0.132535372727907,464,4.44e-35,1.53064722222222e-33
"atc_n02aa01","atc_r03bb04",0.227188832644211,0.104854008465814,0.492253624190887,184,0.000172,0.000718532544378698
"atc_a10ae04","atc_r03bb04",0.696108199416128,0.541371189984668,0.895072797110034,6200,0.00474,0.0135955194428323
"atc_h02ab02","atc_r03bb04",0.704094339463914,0.46108838698045,1.07517094956925,259,0.104,0.183167498218104
"atc_h02ab02","atc_a10ae04",0.554604487397912,0.298249805751143,1.03130373100242,156,0.0625,0.120513070620367
"atc_h02ab02","atc_n02aa05",0.195236395764392,0.163018957592464,0.233820966555073,1763,1.63e-70,1.258665625e-68
"atc_n02aa01","atc_a10ae04",0.220557483900148,0.0689950521106024,0.705059308113615,92,0.0108,0.0272871165644172
"atc_h02ab02","atc_n05ad01",1.12498573366494,0.776440009218153,1.62999444377429,205,0.534,0.663405731523379
"atc_n02aa01","atc_n05ad01",0.901133960777719,0.502756202902269,1.61518129578362,89,0.727,0.815811534968211
"atc_n02aa01","atc_b01ab05",0.227104032388245,0.112639919225689,0.457885995316287,123,3.42e-05,0.000162048322147651
"atc_a10ae04","atc_n02aa05",0.359587309669166,0.291702490499293,0.443270241038349,2993,9.57e-22,1.8693652173913e-20
"atc_h02ab02","atc_b01ab05",0.18556281682203,0.139841414761674,0.246232913515713,1157,1.81e-31,5.45428048780488e-30
"atc_n02aa05","atc_b01ab05",0.481985721811853,0.406504260557588,0.571482905767928,2809,4.52e-17,6.60882840236686e-16
"atc_a10ae04","atc_b01ab05",0.673900470399134,0.45861655834242,0.990243016182365,1311,0.0444,0.0909344384583506
"atc_r03bb04","atc_n02aa05",0.319282955274264,0.25858030511975,0.394235769353966,2895,2.64e-26,6.24252631578947e-25
"atc_r03bb04","atc_b01ab05",0.624451311189998,0.422121568332914,0.923760995172306,1201,0.0184,0.043425405921681
"atc_r03bb04","atc_n06ab10",0.603597355005058,0.469675217690238,0.775705749945245,8248,8e-05,0.000357145438121048
"atc_r03bb04","atc_n05ad01",0.806837502213003,0.513547548752107,1.26762703192563,993,0.352,0.484969054920546
"atc_n02aa01","atc_n06ab10",1.47266605623221,0.735614637983355,2.94820847927119,65,0.274,0.399206367924528
"atc_n02aa05","atc_n06ab10",0.428841820121647,0.358823705846246,0.512522733835343,4260,1.29e-20,2.40572830188679e-19
"atc_a10ae04","atc_n05ad01",0.880090198908113,0.571584022736167,1.35510918325939,1140,0.562,0.688328128872367
"atc_h02ab02","atc_n06ab10",0.761210657359144,0.465761256342422,1.24407442007401,222,0.276,0.401174117647059
"atc_n02aa05","atc_n05ad01",1.20512890637202,0.999523944712985,1.45302740235048,1369,0.0506,0.101364085934333
"atc_a10ae04","atc_n06ab10",0.469805810428048,0.362160501053753,0.609446637249919,10929,1.27e-08,9.82212832550861e-08
"atc_b01ab05","atc_n05ad01",1.95918860605981,1.31763289911105,2.91311790765412,323,0.000891,0.00315876757532281
"atc_b01ab05","atc_n06ab10",0.647432640764464,0.431708314234084,0.970954254311541,1406,0.0355,0.0758499783830523
"atc_h02ab02","atc_m04aa01",0.354656791255032,0.245089952716654,0.513205205636193,892,3.84e-08,2.84944144144144e-07
"atc_n05ad01","atc_n06ab10",0.857426243864868,0.600758695657535,1.22375218033849,2063,0.397,0.532566232356135
"atc_n02aa01","atc_m04aa01",0.222617882448486,0.0974341525683955,0.508638093311885,242,0.000366,0.00143439492466297
"atc_b01ab05","atc_m04aa01",0.595875798667414,0.441581893259768,0.804081808736332,3376,0.000709,0.00259738917716827
"atc_n02aa05","atc_m04aa01",0.364610455815661,0.311329573472609,0.427009817947156,6946,6e-36,2.118e-34
"atc_r03bb04","atc_m04aa01",0.708104470530822,0.60126070578721,0.833934325592181,21263,3.53e-05,0.000167100191570881
"atc_a10ae04","atc_m04aa01",0.675691556173303,0.581976067845407,0.784498030604891,31782,2.66e-07,1.75276266666667e-06
"atc_n05ad01","atc_m04aa01",0.574538878379563,0.358490799423748,0.920790500900589,1909,0.0213,0.049327366447985
"atc_n06ab10","atc_m04aa01",0.871952859969812,0.71556768421514,1.06251554783872,14814,0.174,0.279735849056604
"atc_n05ad01","atc_n06da03",0.399755442333594,0.29145621705327,0.548296465558392,4219,1.29e-08,9.94567862714509e-08
"atc_h02ab02","atc_n06da03",0.44721140025628,0.234177304397176,0.854045344120866,156,0.0148,0.0361193086419753
"atc_n02aa01","atc_n06da03",1.66051453683987,0.918930246120951,3.00056346898566,73,0.093,0.167678219627873
"atc_r03bb04","atc_n06da03",0.475641198579243,0.371432485332635,0.609086600444481,8094,3.88e-09,3.19050915141431e-08
"atc_b01ab05","atc_n06da03",0.489140022417949,0.335667869834483,0.712781838932064,1655,0.000197,0.000816072087175189
"atc_a10ae04","atc_n06da03",0.435659720708947,0.363833119435287,0.521666066417453,20264,1.58e-19,2.75913780918728e-18
"atc_n02aa05","atc_n06da03",0.326305460769486,0.269498100114709,0.395087214650739,3441,1.75e-30,5.08735294117647e-29
"atc_n06ab10","atc_n06da04",0.311919913627276,0.254876726759854,0.38172976306667,28366,1.23e-29,3.43427118644068e-28
"atc_n06ab10","atc_n06da03",0.36335491394657,0.314723085567808,0.419501458721793,47112,2.24e-43,9.30258823529412e-42
"atc_h02ab02","atc_n05ah04",0.304433397785168,0.159974997570028,0.579338616001241,190,0.000292,0.00116564135702746
"atc_n06da03","atc_n06da04",0.226332701551317,0.133502357862155,0.383712262553524,4033,3.46e-08,2.57519879518072e-07
"atc_m04aa01","atc_n06da04",0.770580791790453,0.622169422609362,0.954393988354557,12332,0.017,0.040724188075618
"atc_n02aa01","atc_n05ah04",0.462500769359402,0.209706406040205,1.02003064997942,84,0.056,0.109735130848533
"atc_r03bb04","atc_n05ah04",0.609159267525598,0.4758568582989,0.779803856434575,5498,8.36e-05,0.000371538848920863
"atc_a10ae04","atc_n05ah04",0.534969126284301,0.432461670540129,0.661774176934444,9865,8.22e-09,6.52058426966292e-08
"atc_n02aa05","atc_n05ah04",0.342758969795198,0.283183282225972,0.414868103976975,2905,4.21e-28,1.08363645833333e-26
"atc_a10ae04","atc_n06da04",0.37597475796497,0.283297543165654,0.498970153596288,9967,1.25e-11,1.30052631578947e-10
"atc_n02aa05","atc_n06da04",0.579121229724988,0.457006002744111,0.733866506576219,1513,6.16e-06,3.35272246696035e-05
"atc_n02aa01","atc_n06da04",3.09261652460145,0.941627829568505,10.1571732141994,13,0.0628,0.120855763239875
"atc_h02ab02","atc_n06da04",0.403292523361986,0.176398329803683,0.922031742481286,117,0.0314,0.0685418727915194
"atc_b01ab05","atc_n05ah04",0.582430255815375,0.390998721031412,0.867585965484297,1063,0.00785,0.0208014477211796
"atc_r03bb04","atc_n06da04",0.596282190024112,0.446750445897952,0.795863671552255,5440,0.000448,0.00172029215229215
"atc_n05ad01","atc_n06da04",0.558956140905242,0.370004982403509,0.844399352209149,1984,0.00572,0.0159617391304348
"atc_m04aa01","atc_n06da03",0.952373583300294,0.815342238830458,1.1124352437196,17534,0.538,0.667201003764116
"atc_b01ab05","atc_n06da04",0.623197082076397,0.387643763045517,1.00188533940873,924,0.0509,0.101882462535439
"atc_n05ad01","atc_n05ah04",0.44051961766967,0.342209156364366,0.567072884938268,5587,1.98e-10,1.82900186915888e-09
"atc_m04aa01","atc_n05ah04",0.746060487901767,0.621604865297303,0.895434194103368,13181,0.00165,0.00545073529411765
"atc_h02ab02","atc_a04aa01",0.0275420725187827,0.0159155201180424,0.0476620150019446,385,1.01e-37,3.72494029850746e-36
"atc_n06ab10","atc_n05ah04",0.241976149541744,0.197804458911805,0.296011815250106,26353,2.64e-43,1.08724e-41
"atc_n06da04","atc_n05ah04",0.352432698136637,0.297420581358859,0.417620079109465,25018,2.08e-33,6.63184516129032e-32
"atc_a10ae04","atc_a04aa01",0.224318880940519,0.0817163059185228,0.615776249070518,125,0.00372,0.0110151228280407
"atc_n06da03","atc_n05ah04",0.296770581185172,0.263271690896009,0.334531895766086,57113,6.19e-88,6.65021304347826e-86
"atc_n02aa01","atc_a04aa01",0.152747338535505,0.0563782107056692,0.413843382711933,27,0.00022,0.000898545454545455
"atc_b01ab05","atc_a04aa01",0.27395808274414,0.167404982142395,0.448332123335521,250,2.58e-07,1.70231775700935e-06
"atc_r03bb04","atc_a04aa01",0.277642055354604,0.100530982887954,0.766779640336791,91,0.0134,0.033127963981991
"atc_n05ad01","atc_a04aa01",0.792764555826961,0.436967676038027,1.438265746963,95,0.445,0.578429773803261
"atc_n06da03","atc_a04aa01",0.000154543077501489,1.67171399738376e-15,14286871.343429,86,0.496,0.628198872373142
"atc_m04aa01","atc_a04aa01",0.21767189286836,0.101040089062104,0.468933206459983,297,9.86e-05,0.000431986879432624
"atc_n06ab10","atc_a04aa01",0.355334878988827,0.154235489793912,0.818636984229215,141,0.0151,0.0367245078740157
"atc_n06da04","atc_a04aa01",0.000180106984474477,2.02682942767404e-21,16004566251890.1,36,0.665,0.771100422336931
"atc_n05ah04","atc_a04aa01",0.0780849529768304,0.0191373407114661,0.31860538897866,131,0.000379,0.00147830939226519
