"VARIABLE1_LABEL","EFFECT","EFFECT_L95","EFFECT_U95","N","P","P_FDR"
"atc_n03af04",0.0202599287339175,4.91974551159268e-46,8.34321026029109e+41,2,0.939,0.954439461883408
"atc_n06ba01",0.00745267536569261,6.21573678500396e-19,89357661090802.4,40,0.795,0.884444444444444
"atc_n05ab06",0.0202599151938165,7.70041163343284e-18,53304184659236.7,16,0.83,0.898726114649681
"atc_j05ah01",0.0202599287339175,4.91974551159268e-46,8.34321026029109e+41,2,0.939,0.954439461883408
"atc_b02bd02",2.86261638934699,0.399348629817261,20.5198465218417,102,0.295,0.435140997830803
"atc_b03bb01",0.0202599249277333,1.335616082652e-27,3.0732226379183e+23,6,0.895,0.934869431643625
"atc_l01xb01",0.0202599298612184,4.22809213697581e-64,9.70803721120137e+59,1,0.957,0.962662721893491
"atc_a02ba01",0.0202599287339175,4.91974551159268e-46,8.34321026029109e+41,2,0.939,0.954439461883408
"atc_n05ag02",0.00745265313919496,6.35862487356072e-13,87349135.8864356,102,0.679,0.831927927927928
"atc_h03aa02",0.0202599249277331,1.33561608265178e-27,3.07322263791876e+23,6,0.895,0.934869431643625
"atc_g03ga01",0.02025990829247,2.78846462058852e-15,147200678462.495,23,0.796,0.884444444444444
"atc_h03aa05",0.0202599298612184,4.22809213697581e-64,9.70803721120137e+59,1,0.957,0.962662721893491
"atc_l03ax13",0.0027416060018945,3.3457880585097e-19,22465270776810.5,111,0.752,0.859966499162479
"atc_a07eb01",0.020259895709343,1.06305192257705e-12,386117898.322791,36,0.747,0.858040540540541
"atc_l04ac05",0.0202599229877821,3.15711192312411e-24,1.30012647465689e+20,8,0.879,0.932241112828439
"atc_b02bd06",0.00745267504717823,9.79007887401422e-19,56733317548910.5,41,0.793,0.884444444444444
"atc_n05ax13",0.0202599239305696,9.8537696459127e-26,4.16555828299397e+21,7,0.887,0.932241112828439
"atc_l01xe08",0.0202599063758826,9.3441185755933e-15,43927504027.1486,25,0.788,0.882767710049423
"atc_a16ax03",0.0202599141691372,2.22290160875721e-17,18465240230326.2,17,0.824,0.893652312599681
"atc_m04ab01",0.0202599103316259,7.02829531378761e-16,584016391343.575,21,0.805,0.885530546623794
"atc_l03ab01",0.00745266713500309,1.14921546644845e-15,48330577726.0412,63,0.745,0.858040540540541
"atc_r01aa03",0.0202599172118619,6.6348649568891e-19,618647475266706,14,0.84,0.90379746835443
"atc_c07bb12",0.020259926848358,2.92678622504346e-33,1.40244146425391e+29,4,0.914,0.94599695585997
"atc_l01xx23",0.0202599190668189,3.1696600338221e-20,12949790078877906,12,0.852,0.912377952755906
"atc_n02cx01",0.00274160363241996,4.74717824504154e-18,1583338583325.63,129,0.734,0.852901023890785
"atc_n02ba11",0.0202599190668189,3.16966003382235e-20,12949790078876894,12,0.852,0.912377952755906
"atc_g03xa01",0.0074526689145091,3.30810151428449e-16,167897731401.098,58,0.755,0.859966499162479
"atc_l01bc53",0.0202599298612184,4.22809213697581e-64,9.70803721120137e+59,1,0.957,0.962662721893491
"atc_n07xx06",0.0202599210304905,6.33217414021138e-22,648220328552128512,10,0.865,0.923390894819466
"atc_a07aa11",0.020259922048753,5.57792990996445e-23,7358723541654594560,9,0.872,0.927949921752739
"atc_b01aa02",0.02025990829247,2.78846462058836e-15,147200678462.503,23,0.796,0.884444444444444
"atc_l01xa02",0.0202599239305692,9.85376964591347e-26,4.16555828299353e+21,7,0.887,0.932241112828439
"atc_l01bc05",0.0202599200950876,5.11998811355485e-21,80169006871843520,11,0.858,0.917358490566038
"atc_a10ae01",0.00274160112574276,4.53422623714571e-17,165769777235.587,148,0.716,0.846747826086957
"atc_n03ag04",0.00745265457657401,3.98042708384014e-13,139537941.702841,98,0.685,0.834326241134752
"atc_n03ad01",0.00745265597892092,2.41905307780105e-13,229602573.212798,94,0.691,0.834326241134752
"atc_l03ab07",0.678684869074921,0.0954223612465923,4.82709865375179,427,0.699,0.838306878306878
"atc_l01xx09",0.0202599278770503,4.95893341789921e-38,8.27727745046362e+33,3,0.926,0.952617246596067
"atc_l01xe06",0.0202599103316262,7.02829531378971e-16,584016391343.421,21,0.805,0.885530546623794
"atc_n05ah05",0.0202599287339175,4.91974551159268e-46,8.34321026029109e+41,2,0.939,0.954439461883408
"atc_n05ag03",1.34475658886637,0.188564546613533,9.59019240772655,216,0.768,0.868951747088186
"atc_a08ax01",0.00745267361297884,5.16482461548872e-18,10753965161764.8,45,0.783,0.878613861386139
"atc_n03ax15",0.00274160164819379,2.92687805410982e-17,256805355686.914,144,0.719,0.847058823529412
"atc_l01cd02",0.0202599239305693,9.85376964591438e-26,4.16555828299314e+21,7,0.887,0.932241112828439
"atc_j01xb01",6.88393038160323,0.947447825611128,50.016999583268,43,0.0566,0.0927421686746988
"atc_r05fb02",0.0202599239305691,9.85376964591284e-26,4.16555828299379e+21,7,0.887,0.932241112828439
"atc_g03ac06",6.72383866370321,0.925910589062594,48.8276156570167,44,0.0596,0.0973525179856115
"atc_b01ac06",0.0202599249277332,1.335616082652e-27,3.0732226379183e+23,6,0.895,0.934869431643625
"atc_h05bx02",5.6691166864718,0.783435699535445,41.0230016629194,52,0.0857,0.136158878504673
"atc_n02ba14",0.00745265637143565,2.12522799549025e-13,261346486.629016,93,0.692,0.834326241134752
"atc_j06ba01",0.00745266138288313,2.69858807447728e-14,2058193401.69864,79,0.715,0.846747826086957
"atc_n04bx01",6.42500077817175,0.885645515932154,46.6107875633053,46,0.0658,0.106533333333333
"atc_r06ae53",0.0202599287339175,4.91974551159268e-46,8.34321026029109e+41,2,0.939,0.954439461883408
"atc_n01bx04",0.0202599111828831,3.26933598140948e-16,1255496539579.73,20,0.81,0.885530546623794
"atc_c02kx02",0.0202599278770504,4.95893341789928e-38,8.27727745046374e+33,3,0.926,0.952617246596067
"atc_b02bx04",0.0202599278770503,4.95893341789921e-38,8.27727745046362e+33,3,0.926,0.952617246596067
"atc_j01gb01",15.2171261490181,2.03710063486341,113.6718158505,20,0.00797,0.0150127423822715
"atc_b02bx05",72.2814014352298,8.07883959143093,646.701909885979,5,0.000129,0.000287606557377049
"atc_m05ba03",0.00745266534162789,3.47072148476801e-15,16003076287.7575,68,0.735,0.852901023890785
"atc_c02kx01",22.8263045367096,7.04617958899362,73.9464801062537,41,1.83e-07,5.01774193548387e-07
"atc_h01ca02",0.0202599278770502,4.95893341789815e-38,8.27727745046539e+33,3,0.926,0.952617246596067
"atc_g03ga06",0.0202599239305692,9.85376964591256e-26,4.16555828299391e+21,7,0.887,0.932241112828439
"atc_n03ax18",3.8549949035684,0.535994665037206,27.7259955665917,76,0.18,0.273214285714286
"atc_p01ba01",0.0202599298612184,4.22809213697581e-64,9.70803721120137e+59,1,0.957,0.962662721893491
"atc_c09ca04",0.00745267324337212,7.56372027129359e-18,7343256556336.88,46,0.781,0.877818181818182
