"VARIABLE1_LABEL","EFFECT","EFFECT_L95","EFFECT_U95","N","P","P_FDR"
"N03AF04",0.0107703648727903,3.01493822190225e-121,3.84753354647013e+116,2,0.974,0.984130757800891
"N06BA01",0.0107703452030436,3.33413325677359e-29,3.47917515165475e+24,40,0.884,0.984130757800891
"N05AB06",0.0107703575898906,1.31048352466577e-44,8.85174063090175e+39,16,0.927,0.984130757800891
"J05AH01",0.0107703648727903,3.01493822190157e-121,3.847533546471e+116,2,0.974,0.984130757800891
"B02BD02",0.00396213921059521,1.6905943002801e-30,9.28581571671881e+24,102,0.863,0.984130757800891
"B03BB01",0.010770362811073,3.8516905732704e-71,3.01168312655117e+66,6,0.955,0.984130757800891
"L01XB01",0.0107703653652107,2.36068466175204e-170,4.91386130386569e+165,1,0.982,0.986351550960118
"A02BA01",0.0107703648727901,3.01493822189694e-121,3.84753354647647e+116,2,0.974,0.984130757800891
"N05AG02",0.00396213921059523,1.69059430028452e-30,9.28581571669453e+24,102,0.863,0.984130757800891
"H03AA02",0.010770362811073,3.8516905732704e-71,3.01168312655117e+66,6,0.955,0.984130757800891
"G03GA01",0.010770354013086,1.1826906410182e-37,9.80818834140183e+32,23,0.912,0.984130757800891
"H03AA05",0.0107703653652107,2.36068466175204e-170,4.91386130386569e+165,1,0.982,0.986351550960118
"L03AX13",0.00396213748901316,2.29658126139474e-29,6.83560984570149e+23,111,0.858,0.984130757800891
"A07EB01",0.0107703472827398,1.22752480060967e-30,9.44994191019261e+25,36,0.89,0.984130757800891
"L04AC05",0.0107703618184282,5.69841459034785e-62,2.03566609379993e+57,8,0.948,0.984130757800891
"B02BD06",0.0107703446736507,7.05118424586838e-29,1.64511832827522e+24,41,0.883,0.984130757800891
"N05AX13",0.0107703622782167,4.60268995880924e-66,2.52028063245963e+61,7,0.951,0.984130757800891
"L01XE08",0.0107703529083716,3.16512506763655e-36,3.66495791768154e+31,25,0.908,0.984130757800891
"A16AX03",0.0107703570890896,2.3383128074267e-43,4.96086714566471e+38,17,0.924,0.984130757800891
"M04AB01",0.0107703551241787,2.79250687540743e-39,4.15399333561162e+34,21,0.916,0.984130757800891
"L03AB01",0.0107703332999311,8.11251376477216e-24,14298906942423138304,63,0.855,0.984130757800891
