"VARIABLE1_LABEL","EFFECT","EFFECT_L95","EFFECT_U95","N","P","P_FDR"
"A07EB01",0.020259895709343,1.06305192257705e-12,386117898.322791,36,0.747,0.858040540540541
"H03AA05",0.0202599298612181,4.22809213697569e-64,9.7080372112011e+59,1,0.957,0.962662721893491
"L04AC05",0.0202599229877817,3.15711192312406e-24,1.30012647465687e+20,8,0.879,0.932241112828439
"A16AX03",0.020259914169137,2.22290160875674e-17,18465240230329.9,17,0.824,0.893652312599681
"M04AB01",0.0202599103316259,7.02829531378761e-16,584016391343.575,21,0.805,0.885530546623794
"L01XE08",0.0202599063758827,9.34411857559476e-15,43927504027.1422,25,0.788,0.882767710049423
"R01AA03",0.0202599172118621,6.63486495688919e-19,618647475266714,14,0.84,0.90379746835443
"N05AX13",0.0202599239305693,9.85376964591207e-26,4.16555828299418e+21,7,0.887,0.932241112828439
"C07BB12",0.0202599268483585,2.92678622504355e-33,1.40244146425395e+29,4,0.914,0.94599695585997
"B02BD06",0.00745267504717862,9.79007887402131e-19,56733317548875.3,41,0.793,0.884444444444444
"L03AB01",0.00745266713500294,1.14921546644811e-15,48330577726.0533,63,0.745,0.858040540540541
"L03AX13",0.00274160600189451,3.3457880585097e-19,22465270776810.6,111,0.752,0.859966499162479
"A02BA01",0.0202599287339178,4.91974551159282e-46,8.34321026029133e+41,2,0.939,0.954439461883408
"B03BB01",0.0202599249277328,1.33561608265197e-27,3.07322263791823e+23,6,0.895,0.934869431643625
"N06BA01",0.00745267536569269,6.21573678500457e-19,89357661090794.8,40,0.795,0.884444444444444
"H03AA02",0.0202599249277328,1.33561608265197e-27,3.07322263791823e+23,6,0.895,0.934869431643625
"J05AH01",0.0202599287339178,4.91974551159282e-46,8.34321026029133e+41,2,0.939,0.954439461883408
"L01XB01",0.0202599298612181,4.22809213697569e-64,9.7080372112011e+59,1,0.957,0.962662721893491
"N05AB06",0.0202599151938162,7.7004116334312e-18,53304184659246,16,0.83,0.898726114649681
"B02BD02",2.86261638934694,0.399348629817254,20.5198465218413,102,0.295,0.435140997830803
"N03AF04",0.0202599287339178,4.91974551159282e-46,8.34321026029133e+41,2,0.939,0.954439461883408
"G03GA01",0.0202599082924706,2.78846462058917e-15,147200678462.47,23,0.796,0.884444444444444
"N05AG02",0.00745265313919521,6.35862487356664e-13,87349135.8863605,102,0.679,0.831927927927928
"L01XX23",0.0202599190668183,3.16966003382156e-20,12949790078879378,12,0.852,0.912377952755906
"L01BC53",0.0202599298612181,4.22809213697569e-64,9.7080372112011e+59,1,0.957,0.962662721893491
"N02BA11",0.0202599190668185,3.16966003382228e-20,12949790078876618,12,0.852,0.912377952755906
"A07AA11",0.020259922048753,5.57792990996374e-23,7358723541655535616,9,0.872,0.927949921752739
"N07XX06",0.020259921030491,6.33217414021142e-22,648220328552160768,10,0.865,0.923390894819466
"G03XA01",0.00745266891450905,3.30810151428456e-16,167897731401.092,58,0.755,0.859966499162479
"B01AA02",0.0202599082924701,2.78846462058803e-15,147200678462.523,23,0.796,0.884444444444444
"L01XA02",0.0202599239305694,9.8537696459127e-26,4.16555828299397e+21,7,0.887,0.932241112828439
"L01BC05",0.0202599200950874,5.11998811355478e-21,80169006871842384,11,0.858,0.917358490566038
"N02CX01",0.00274160363242026,4.74717824505027e-18,1583338583323.07,129,0.734,0.852901023890785
"A10AE01",0.00274160112574288,4.53422623714854e-17,165769777235.497,148,0.716,0.846747826086957
"N03AG04",0.00745265457657408,3.98042708384019e-13,139537941.702843,98,0.685,0.834326241134752
"L01XE06",0.0202599103316263,7.02829531378971e-16,584016391343.423,21,0.805,0.885530546623794
"N05AH05",0.0202599287339177,4.91974551159185e-46,8.34321026029275e+41,2,0.939,0.954439461883408
"L01XX09",0.0202599278770503,4.95893341789921e-38,8.27727745046362e+33,3,0.926,0.952617246596067
"L03AB07",0.678684869074911,0.095422361246591,4.82709865375172,427,0.699,0.838306878306878
"N03AD01",0.00745265597892085,2.41905307780143e-13,229602573.212756,94,0.691,0.834326241134752
"N05AG03",1.34475658886638,0.188564546613535,9.59019240772666,216,0.768,0.868951747088186
"N03AX15",0.00274160164819379,2.92687805410982e-17,256805355686.913,144,0.719,0.847058823529412
"A08AX01",0.00745267361297857,5.16482461548645e-18,10753965161768.7,45,0.783,0.878613861386139
"L01CD02",0.0202599239305695,9.8537696459127e-26,4.16555828299397e+21,7,0.887,0.932241112828439
"J01XB01",6.88393038160336,0.947447825611137,50.0169995832694,43,0.0566,0.0927421686746988
"R05FB02",0.0202599239305695,9.8537696459127e-26,4.16555828299397e+21,7,0.887,0.932241112828439
"G03AC06",6.7238386637031,0.925910589062578,48.8276156570159,44,0.0596,0.0973525179856115
"B01AC06",0.0202599249277327,1.33561608265196e-27,3.07322263791821e+23,6,0.895,0.934869431643625
"H05BX02",5.66911668647179,0.783435699535433,41.0230016629198,52,0.0857,0.136158878504673
"N04BX01",6.42500077817156,0.885645515932128,46.610787563304,46,0.0658,0.106533333333333
"B02BX04",0.0202599278770503,4.95893341789921e-38,8.27727745046362e+33,3,0.926,0.952617246596067
"N01BX04",0.0202599111828836,3.26933598140992e-16,1255496539579.62,20,0.81,0.885530546623794
"R06AE53",0.0202599287339177,4.91974551159185e-46,8.34321026029275e+41,2,0.939,0.954439461883408
"C02KX02",0.0202599278770504,4.95893341789928e-38,8.27727745046374e+33,3,0.926,0.952617246596067
"N02BA14",0.00745265637143524,2.12522799548955e-13,261346486.629074,93,0.692,0.834326241134752
"J06BA01",0.00745266138288307,2.69858807447725e-14,2058193401.69862,79,0.715,0.846747826086957
"J01GB01",15.2171261490185,2.03710063486346,113.671815850503,20,0.00797,0.0150127423822715
"B02BX05",72.2814014352298,8.07883959143093,646.701909885979,5,0.000129,0.000287606557377049
"C02KX01",22.8263045367092,7.04617958899351,73.9464801062527,41,1.83e-07,5.01774193548387e-07
"H01CA02",0.0202599278770503,4.95893341789851e-38,8.2772774504648e+33,3,0.926,0.952617246596067
"M05BA03",0.00745266534162806,3.47072148476784e-15,16003076287.759,68,0.735,0.852901023890785
"N03AX18",3.85499490356833,0.535994665037197,27.7259955665912,76,0.18,0.273214285714286
"G03GA06",0.0202599239305695,9.8537696459127e-26,4.16555828299397e+21,7,0.887,0.932241112828439
"P01BA01",0.0202599298612181,4.22809213697569e-64,9.7080372112011e+59,1,0.957,0.962662721893491
"C09CA04",0.00745267324337198,7.56372027129284e-18,7343256556337.32,46,0.781,0.877818181818182
"L01DB06",0.0202599268483584,2.92678622504317e-33,1.40244146425413e+29,4,0.914,0.94599695585997
"C04AX02",0.0202599229877818,3.15711192312406e-24,1.30012647465687e+20,8,0.879,0.932241112828439
"L02AB01",7.47755436055678,2.37680570097878,23.5247749498649,119,0.000581,0.00123077881619938
"J01CE01",0.0202599258960718,5.27572849816499e-30,7.78024489806647e+25,5,0.904,0.939938837920489
"N06BA07",0.00274159489898358,2.70195879092577e-15,2781812444.87355,195,0.676,0.829747292418773
"N07XX04",0.0202599111828833,3.26933598140953e-16,1255496539579.75,20,0.81,0.885530546623794
"N05BB01",0.0202599287339177,4.91974551159185e-46,8.34321026029275e+41,2,0.939,0.954439461883408
"R06AX25",0.00274159662422882,1.02394581114102e-15,7340576003.34058,182,0.686,0.834326241134752
"L01XD03",0.0202599239305694,9.85376964591298e-26,4.16555828299385e+21,7,0.887,0.932241112828439
"L03AB08",0.00745266393642003,7.72443667844427e-15,7190453111.5144,72,0.728,0.852901023890785
"N06BX03",1.56282748496548,0.218980961090527,11.1536168971047,186,0.656,0.8225
"L01XE07",0.0202598936515948,1.99866201019881e-12,205369036.22494,38,0.74,0.85578231292517
"J02AC04",14.4562692144606,1.94011909184563,107.716954324776,21,0.00914,0.0169814207650273
"G03DA04",0.00100855832693228,4.29722153484426e-18,236708740886.758,370,0.683,0.834326241134752
"H01AC01",0.00274160363242021,4.74717824505145e-18,1583338583322.61,129,0.734,0.852901023890785
"H03BA02",0.00745265926515291,6.95555488255244e-14,798529104.583638,85,0.705,0.841052631578947
"J01CE09",0.0202599131990171,5.86685712826099e-17,6996319730618.26,18,0.819,0.8925
"G02AB01",0.0202599287339179,4.91974551159282e-46,8.34321026029133e+41,2,0.939,0.954439461883408
