"VARIABLE1_LABEL","EFFECT","EFFECT_L95","EFFECT_U95","N","P","P_FDR"
"N03AF04",0.0221772726133164,2.74942665472546e-74,1.7888508490308e+70,2,0.964,0.978388059701493
"N06BA01",0.0221772320087269,1.84963967750924e-18,265905638568054,40,0.84,0.978388059701493
"N05AB06",0.0221772577202868,8.37648389310924e-28,5.87156575799805e+23,16,0.899,0.978388059701493
"B03BB01",0.0221772682943266,6.76978443513481e-44,7.26509438684593e+39,6,0.938,0.978388059701493
"B02BD02",0.00815831314631519,2.04581204854525e-19,325338163105783,102,0.805,0.978388059701493
"L01XB01",0.0221772737197109,4.51363074609849e-104,1.08965818717915e+100,1,0.975,0.982222222222222
"H03AA02",0.0221772682943266,6.76978443513481e-44,7.26509438684593e+39,6,0.938,0.978388059701493
"G03GA01",0.0221772502077149,1.38607924365771e-23,35483572027072872448,23,0.878,0.978388059701493
"N05AG02",0.00815831314631564,2.04581204854308e-19,325338163106164,102,0.805,0.978388059701493
"J05AH01",0.0221772726133164,2.74942665472546e-74,1.7888508490308e+70,2,0.964,0.978388059701493
"A02BA01",0.0221772726133164,2.74942665472546e-74,1.7888508490308e+70,2,0.964,0.978388059701493
"M04AB01",43.019293640962,5.77329889583165,320.554964979121,21,0.000242,0.000968
"A07EB01",0.0221772363516609,2.49656499023401e-19,1970026072308786,36,0.848,0.978388059701493
"L01XE08",0.0221772481346559,1.01772518435284e-22,4832643845193354240,25,0.873,0.978388059701493
"A16AX03",0.0221772566568294,4.80977016878652e-27,1.02256593467743e+23,17,0.895,0.978388059701493
"N05AX13",0.0221772671277865,8.13163800302143e-41,6.04836537330418e+36,7,0.933,0.978388059701493
"L04AC05",0.0221772662735551,2.46930479498888e-38,1.99177979310726e+34,8,0.928,0.978388059701493
"B02BD06",0.0221772309915554,2.91326975077662e-18,168823904590948,41,0.838,0.978388059701493
"R01AA03",0.0221772598084384,1.47143909912795e-29,3.34251586017023e+25,14,0.905,0.978388059701493
"C07BB12",0.0221772705351196,3.16385672491522e-53,1.55453097643372e+49,4,0.949,0.978388059701493
"H03AA05",0.0221772737197109,4.51363074609849e-104,1.08965818717915e+100,1,0.975,0.982222222222222
"L03AX13",0.00815830964839423,9.95618470525045e-19,66850925620115.2,111,0.797,0.978388059701493
"L03AB01",0.00815832842885206,6.14508246049231e-24,10831152092901892096,63,0.846,0.978388059701493
"L01XX23",0.0221772619666529,9.77538868555757e-32,5.03131859159929e+27,12,0.912,0.978388059701493
"N02BA11",0.022177261966653,9.77538868555757e-32,5.03131859159933e+27,12,0.912,0.978388059701493
"B01AA02",0.0221772502077146,1.38607924365745e-23,35483572027078418432,23,0.878,0.978388059701493
"L01BC53",0.0221772737197109,4.51363074609849e-104,1.08965818717915e+100,1,0.975,0.982222222222222
"G03XA01",0.008158330393318,7.88624246360282e-25,84398057901112934400,58,0.853,0.978388059701493
"N07XX06",0.0221772641101996,1.54265550976685e-34,3.18821046111505e+30,10,0.92,0.978388059701493
"L01XA02",0.0221772671277864,8.13163800302143e-41,6.04836537330418e+36,7,0.933,0.978388059701493
"A07AA11",0.0221772651309617,2.81047818454906e-36,1.74999077165183e+32,9,0.924,0.978388059701493
"N02CX01",0.0030012433170502,1.37933904488832e-27,6.53027367094349e+21,129,0.839,0.978388059701493
"A10AE01",5.85292936586068,0.818962161030017,41.8295054299812,148,0.0783,0.196472324723247
"L01BC05",0.0221772629992485,4.8395183852818e-33,1.01628086719046e+29,11,0.916,0.978388059701493
"L01XX09",0.0221772715023573,4.30884722702683e-61,1.14144536897087e+57,3,0.956,0.978388059701493
"N03AG04",0.00815831470370593,9.45069161841824e-20,704266962589177,98,0.809,0.978388059701493
"N03AD01",0.00815831627516736,4.15790305347567e-20,1600761816464755,94,0.813,0.978388059701493
"N05AH05",0.0221772726133164,2.74942665472546e-74,1.7888508490308e+70,2,0.964,0.978388059701493
"L01XE06",0.0221772523141605,1.42898684286943e-24,3.44181279666883e+20,21,0.884,0.978388059701493
"L01CD02",0.0221772671277865,8.13163800302282e-41,6.04836537330315e+36,7,0.933,0.978388059701493
"J01XB01",0.00815833628143994,2.20705868407268e-28,3.01570825286071e+23,43,0.873,0.978388059701493
"A08AX01",0.0081583354553044,8.28789454956135e-28,8.03080167143289e+22,45,0.87,0.978388059701493
"R05FB02",0.0221772671277864,8.13163800302143e-41,6.04836537330418e+36,7,0.933,0.978388059701493
"L03AB07",0.00110407604531636,9.72876655303717e-26,12529686134372847616,427,0.793,0.978388059701493
"N05AG03",0.00300123075575889,4.66810864870514e-22,19295579274513364,216,0.793,0.978388059701493
"N03AX15",0.00300124116554721,2.76761476910356e-26,3.25458898193866e+20,144,0.83,0.978388059701493
"G03AC06",0.00815833588284597,4.32540453478413e-28,1.53877964111983e+23,44,0.871,0.978388059701493
"B01AC06",0.0221772682943266,6.76978443513587e-44,7.26509438684479e+39,6,0.938,0.978388059701493
"J06BA01",0.00815832215867813,1.1180653215119e-21,59529813834826104,79,0.828,0.978388059701493
"N01BX04",0.0221772534606122,4.04597147337812e-25,1.21560563215141e+21,20,0.887,0.978388059701493
"H05BX02",0.00815833278843535,4.5862111824028e-26,1.45127189393812e+21,52,0.86,0.978388059701493
"N04BX01",19.1196630991439,2.63545393989597,138.709127672782,46,0.00352,0.0120281407035176
"N02BA14",0.00815831666252115,3.35854623904459e-20,1981754188529624,93,0.814,0.978388059701493
"R06AE53",0.0221772726133164,2.74942665472546e-74,1.7888508490308e+70,2,0.964,0.978388059701493
"C02KX02",0.0221772715023573,4.30884722702683e-61,1.14144536897087e+57,3,0.956,0.978388059701493
"J01GB01",0.022177253460612,4.04597147337703e-25,1.21560563215172e+21,20,0.887,0.978388059701493
"B02BX04",0.0221772715023573,4.30884722702683e-61,1.14144536897087e+57,3,0.956,0.978388059701493
"B02BX05",0.0221772693132426,7.38140735065147e-48,6.66310976793166e+43,5,0.943,0.978388059701493
"N03AX18",11.4717812837607,1.59498248390186,82.509850202556,76,0.0154,0.0465422222222222
"M05BA03",0.00815832648324821,3.80134108466518e-23,1750916045807322880,68,0.84,0.978388059701493
"C02KX01",0.022177230991555,2.91326975077635e-18,168823904590957,41,0.838,0.978388059701493
"N06BA07",0.00300123379064317,4.81154432417042e-23,187204017239337056,195,0.803,0.978388059701493
"G03GA06",0.0221772671277864,8.13163800302282e-41,6.04836537330315e+36,7,0.933,0.978388059701493
"H01CA02",0.0221772715023573,4.30884722702683e-61,1.14144536897087e+57,3,0.956,0.978388059701493
"P01BA01",0.0221772737197109,4.51363074609849e-104,1.08965818717915e+100,1,0.975,0.982222222222222
"R06AX25",0.00300123566140425,9.71656264112833e-24,927016665045508736,182,0.809,0.978388059701493
"L01DB06",0.0221772705351195,3.16385672491522e-53,1.55453097643372e+49,4,0.949,0.978388059701493
"L01XD03",0.0221772671277864,8.13163800302143e-41,6.04836537330418e+36,7,0.933,0.978388059701493
"J01CE01",0.0221772693132426,7.38140735065147e-48,6.66310976793166e+43,5,0.943,0.978388059701493
"L02AB01",0.0030012447757734,1.37311495908803e-28,6.5598806163248e+22,119,0.845,0.978388059701493
"C09CA04",0.0081583350900377,1.55453908707831e-27,4.28155406284667e+22,46,0.868,0.978388059701493
"N07XX04",0.0221772534606124,4.04597147337838e-25,1.21560563215135e+21,20,0.887,0.978388059701493
"C04AX02",0.0221772662735551,2.46930479498888e-38,1.99177979310726e+34,8,0.928,0.978388059701493
"H03BA02",0.00815831980808929,5.3260743503587e-21,12496667848164662,85,0.822,0.978388059701493
"L03AB08",0.00815832490647009,1.42159187451661e-22,468195313103929472,72,0.836,0.978388059701493
"N05BB01",0.0221772726133164,2.74942665472546e-74,1.7888508490308e+70,2,0.964,0.978388059701493
"N06BX03",4.65069754633174,0.651630688915425,33.1920949018766,186,0.125,0.280528052805281
"L01XE07",0.0221772342552754,7.06945562110726e-19,695710880120536,38,0.844,0.978388059701493
"H01AC01",0.00300124331704998,1.37933904488859e-27,6.53027367094126e+21,129,0.839,0.978388059701493
"G03DA04",0.00110407907432775,2.23902478560247e-27,5.44429257865684e+20,370,0.807,0.978388059701493
"J01CE09",0.0221772554640614,2.38242137749633e-26,2.06441507184216e+22,18,0.892,0.978388059701493
"J02AC04",0.0221772523141612,1.42898684287052e-24,3.44181279666643e+20,21,0.884,0.978388059701493
"N06BA04",0.00300124520545691,6.48830688605145e-29,1.38826244526787e+23,116,0.847,0.978388059701493
"A04AD12",0.00300124433775702,2.82617083213112e-28,3.1871631652664e+22,122,0.843,0.978388059701493
"M04AC01",0.0221772726133164,2.74942665472546e-74,1.7888508490308e+70,2,0.964,0.978388059701493
"N02CC02",1.14867251104278,0.161591638420433,8.16532681098483,750,0.89,0.978388059701493
"N07BB04",0.0221772416330924,1.20668894085523e-20,40758643739950120,31,0.859,0.978388059701493
"R01AC03",2.32532810097028,0.326674777962282,16.5520913824157,371,0.399,0.702901554404145
"A10AE02",0.00300123943051647,2.21717952296084e-25,40625659880072134656,156,0.823,0.978388059701493
"A03CA05",9.08921989724481,2.91384183890265,28.3522314895387,287,0.000143,0.000592926829268293
"G02AB01",0.0221772726133164,2.74942665472546e-74,1.7888508490308e+70,2,0.964,0.978388059701493
"B01AC11",20.4853562796094,2.8193618303701,148.845677550882,43,0.00284,0.00995463917525773
"A03BB01",0.00300123668846964,3.8171135110839e-24,2359746870000340480,175,0.813,0.978388059701493
"J02AC03",0.0221772469677221,2.52688844433881e-22,1946387004813072896,26,0.871,0.978388059701493
"L02BX03",0.0221772320087267,1.84963967750945e-18,265905638568020,40,0.84,0.978388059701493
"A08AA10",0.00300123235674095,1.48294657913186e-22,60739852573934296,205,0.798,0.978388059701493
"B01AF02",0.0221772598084387,1.47143909912864e-29,3.34251586016876e+25,14,0.905,0.978388059701493
