"LABEL","DESCRIPTION"
"atc_n03af04","eslicarbazepine"
"atc_n06ba01","amfetamine"
"atc_n05ab06","trifluoperazine"
"atc_j05ah01","zanamivir"
"atc_b02bd02","coagulation factor VIII"
"atc_b03bb01","folic acid"
"atc_l01xb01","procarbazine"
"atc_a02ba01","cimetidine"
"atc_n05ag02","pimozide"
"atc_h03aa02","liothyronine sodium"
"atc_g03ga01","chorionic gonadotrophin"
"atc_h03aa05","thyroid gland preparations"
"atc_l03ax13","glatiramer acetate"
"atc_a07eb01","cromoglicic acid"
"atc_l04ac05","ustekinumab"
"atc_b02bd06","von Willebrand factor and coagulation factor VIII in combination"
"atc_n05ax13","paliperidone"
"atc_l01xe08","nilotinib"
"atc_a16ax03","sodium phenylbutyrate"
"atc_m04ab01","probenecid"
"atc_l03ab01","interferon alfa natural"
"atc_r01aa03","ephedrine"
"atc_c07bb12","nebivolol and thiazides"
"atc_l01xx23","mitotane"
"atc_n02cx01","pizotifen"
"atc_n02ba11","diflunisal"
"atc_g03xa01","danazol"
"atc_l01bc53","tegafur, combinations"
"atc_n07xx06","tetrabenazine"
"atc_a07aa11","rifaximin"
"atc_b01aa02","phenindione"
"atc_l01xa02","carboplatin"
"atc_l01bc05","gemcitabine"
"atc_a10ae01","insulin (human)"
"atc_n03ag04","vigabatrin"
"atc_n03ad01","ethosuximide"
"atc_l03ab07","interferon beta-1a"
"atc_l01xx09","miltefosine"
"atc_l01xe06","dasatinib"
"atc_n05ah05","asenapine"
"atc_n05ag03","penfluridol"
"atc_a08ax01","rimonabant"
"atc_n03ax15","zonisamide"
"atc_l01cd02","docetaxel"
"atc_j01xb01","colistin"
"atc_r05fb02","cough suppressants and expectorants"
"atc_g03ac06","medroxyprogesterone"
"atc_b01ac06","acetylsalicylic acid"
"atc_h05bx02","paricalcitol"
"atc_n02ba14","guacetisal"
"atc_j06ba01","immunoglobulins, normal human, for extravascular adm."
"atc_n04bx01","tolcapone"
"atc_r06ae53","cyclizine, combinations"
"atc_n01bx04","capsaicin"
"atc_c02kx02","ambrisentan"
"atc_b02bx04","romiplostim"
"atc_j01gb01","tobramycin"
"atc_b02bx05","eltrombopag"
"atc_m05ba03","pamidronic acid"
