"LABEL","DESCRIPTION"
"A01AB04","amphotericin B"
"A01AB09","miconazole"
"A01AC01","triamcinolone"
"A02BA02","ranitidine"
"A02BA03","famotidine"
"A02BA04","nizatidine"
"A02BA07","ranitidine bismuth citrate"
"A02BB01","misoprostol"
"A02BC01","omeprazole"
"A02BC02","pantoprazole"
"A02BC03","lansoprazole"
"A02BC04","rabeprazole"
"A02BC05","esomeprazole"
"A02BD02","lansoprazole, tetracycline and metronidazole"
"A02BD03","lansoprazole, amoxicillin and metronidazole"
"A02BD07","lansoprazole, amoxicillin and clarithromycin"
"A02BX02","sucralfate"
"A03BA03","hyoscyamine"
"A03BB01","butylscopolamine"
"A03CA02","clidinium and psycholeptics"
"A03CA05","glycopyrronium bromide and psycholeptics"
"A03FA01","metoclopramide"
"A03FA02","cisapride"
"A04AA01","ondansetron"
"A04AA02","granisetron"
"A04AA03","tropisetron"
"A04AD12","aprepitant"
"A05AA02","ursodeoxycholic acid"
"A06AC01","ispaghula (psylla seeds)"
"A06AC51","ispaghula, combinations"
"A06AD11","lactulose"
"A06AD12","lactitol"
"A07AA02","nystatin"
"A07AA09","vancomycin"
"A07AA11","rifaximin"
"A07DA03","loperamide"
"A07EA02","hydrocortisone"
"A07EA06","budesonide"
"A07EB01","cromoglicic acid"
"A07EC01","sulfasalazine"
"A07EC02","mesalazine"
"A07EC03","olsalazine"
"A08AA10","sibutramine"
"A08AB01","orlistat"
"A08AX01","rimonabant"
"A09AA02","multienzymes (lipase, protease etc.)"
"A10AB01","insulin (human)"
"A10AB02","insulin (beef)"
"A10AB04","insulin lispro"
"A10AB05","insulin aspart"
"A10AB06","insulin glulisine"
"A10AC01","insulin (human)"
"A10AD01","insulin (human)"
"A10AD04","Insulin lispro "
"A10AD05","insulin aspart"
"A10AE01","insulin (human)"
"A10AE02","insulin (beef)"
"A10AE04","insulin glargine"
"A10AE05","insulin detemir"
"A10BA02","metformin"
"A10BB01","glibenclamide"
"A10BB07","glipizide"
"A10BB12","glimepiride"
"A10BD03","metformin and rosiglitazone"
"A10BD04","glimepiride and rosiglitazone"
"A10BD05","metformin and pioglitazone"
"A10BD07","metformin and sitagliptin"
"A10BD08","metformin and vildagliptin"
"A10BG02","rosiglitazone"
"A10BG03","pioglitazone"
"A10BH01","sitagliptin"
"A10BH02","vildagliptin"
"A10BH03","saxagliptin"
"A10BH05","linagliptin"
"A10BX01","guar gum"
"A10BX02","repaglinide"
"A10BX03","nateglinide"
"A10BX04","exenatide"
"A10BX07","liraglutide"
"A11CC02","dihydrotachysterol"
"A11CC03","alfacalcidol"
"A11DB","Vitamin B1 in combination with vitamin B6 and/or vitamin B12"
"A12AA05","calcium lactate"
"A12AA06","calcium lactate gluconate"
"A12AA07","calcium chloride"
"A12AA08","calcium glycerylphosphate"
"A12AA10","calcium glucoheptonate"
"A12AA12","calcium acetate anhydrous"
