"LABEL","DESCRIPTION"
"N03AF04","eslicarbazepine"
"N06BA01","amfetamine"
"N05AB06","trifluoperazine"
"J05AH01","zanamivir"
"B02BD02","coagulation factor VIII"
"B03BB01","folic acid"
"L01XB01","procarbazine"
"A02BA01","cimetidine"
"N05AG02","pimozide"
"H03AA02","liothyronine sodium"
"G03GA01","chorionic gonadotrophin"
"H03AA05","thyroid gland preparations"
"L03AX13","glatiramer acetate"
"A07EB01","cromoglicic acid"
"L04AC05","ustekinumab"
"B02BD06","von Willebrand factor and coagulation factor VIII in combination"
"N05AX13","paliperidone"
"L01XE08","nilotinib"
"A16AX03","sodium phenylbutyrate"
"M04AB01","probenecid"
"L03AB01","interferon alfa natural"
"R01AA03","ephedrine"
"C07BB12","nebivolol and thiazides"
"L01XX23","mitotane"
"N02CX01","pizotifen"
"N02BA11","diflunisal"
"G03XA01","danazol"
"L01BC53","tegafur, combinations"
"N07XX06","tetrabenazine"
"A07AA11","rifaximin"
"B01AA02","phenindione"
"L01XA02","carboplatin"
"L01BC05","gemcitabine"
"A10AE01","insulin (human)"
"N03AG04","vigabatrin"
"N03AD01","ethosuximide"
"L03AB07","interferon beta-1a"
"L01XX09","miltefosine"
"L01XE06","dasatinib"
"N05AH05","asenapine"
"N05AG03","penfluridol"
"A08AX01","rimonabant"
"N03AX15","zonisamide"
"L01CD02","docetaxel"
"J01XB01","colistin"
"R05FB02","cough suppressants and expectorants"
"G03AC06","medroxyprogesterone"
"B01AC06","acetylsalicylic acid"
"H05BX02","paricalcitol"
"N02BA14","guacetisal"
"J06BA01","immunoglobulins, normal human, for extravascular adm."
"N04BX01","tolcapone"
"R06AE53","cyclizine, combinations"
"N01BX04","capsaicin"
"C02KX02","ambrisentan"
"B02BX04","romiplostim"
"J01GB01","tobramycin"
"B02BX05","eltrombopag"
"M05BA03","pamidronic acid"
"C02KX01","bosentan"
"H01CA02","nafarelin"
"G03GA06","follitropin beta"
"N03AX18","lacosamide"
"P01BA01","chloroquine"
"C09CA04","irbesartan"
"L01DB06","idarubicin"
"R06AX25","mizolastine"
"N07XX04","sodium oxybate"
"H03BA02","propylthiouracil"
"N06BA07","modafinil"
"L02AB01","megestrol"
"J01CE01","benzylpenicillin"
"C04AX02","phenoxybenzamine"
"L03AB08","interferon beta-1b"
"G03DA04","progesterone"
"N05BB01","hydroxyzine"
"L01XD03","methyl aminolevulinate"
"L01XE07","lapatinib"
"N06BX03","piracetam"
"H01AC01","somatropin"
"J02AC04","posaconazole"
"A03CA05","glycopyrronium bromide and psycholeptics"
"G02AB01","methylergometrine"
"A03BB01","butylscopolamine"
"J01CE09","procaine benzylpenicillin"
"A08AA10","sibutramine"
"J02AC03","voriconazole"
"B01AC11","iloprost"
"C05AA05","betamethasone"
"L02BX03","abiraterone"
"N02CC02","naratriptan"
"A04AD12","aprepitant"
"N06BA04","methylphenidate"
"B01AF02","apixaban"
"A10AB02","insulin (beef)"
"A10AE02","insulin (beef)"
"C09AA16","imidapril"
"M04AC01","colchicine"
"R01AC03","azelastine"
"N07BB04","naltrexone"
"L01XE02","gefitinib"
"C10AC02","colestipol"
"R03BA07","mometasone"
"N05AE03","sertindole"
"L04AB06","golimumab"
"L04AB05","certolizumab pegol"
"L04AX04","lenalidomide"
"G02CB03","cabergoline"
"B01AC22","prasugrel"
"L04AD02","tacrolimus"
"C09BB10","trandolapril and verapamil"
"A10BD04","glimepiride and rosiglitazone"
"G04BE04","yohimbine"
"B01AC24","ticagrelor"
"N02AA03","hydromorphone"
"G03FB11","trimegestone and estrogen"
"A10BH05","linagliptin"
"R01AC07","nedocromil"
"L01BC04","carmofur"
"N03AA03","primidone"
"A10BX04","exenatide"
"N07XX02","riluzole"
"L01XX17","topotecan"
"H05AA03","parathyroid hormone"
"A04AA03","tropisetron"
"L03AA10","lenograstim"
"J01DD04","ceftriaxone"
"C07AG01","labetalol"
"R03AK08",
"B01AC05","ticlopidine"
"C09DB02","olmesartan medoxomil and amlodipine"
"A12AA07","calcium chloride"
"R03CA02","ephedrine"
"N02CC07","frovatriptan"
"N05BA09","clobazam"
"R05CB02","bromhexine"
"G03DB01","dydrogesterone"
"A08AB01","orlistat"
"C05BA04","pentosan polysulfate sodium"
"N01BB02","lidocaine"
"G04BE01","alprostadil"
"L04AC03","anakinra"
"L04AB01","etanercept"
"L01XE05","sorafenib"
"N06AX22","agomelatine"
"L01XE10","everolimus"
"L01XE11","pazopanib"
"N05AE04","ziprasidone"
"A02BA07","ranitidine bismuth citrate"
"C09XA02","aliskiren"
"M01AE14","dexibuprofen"
"C02DC01","minoxidil"
"L01AB01","busulfan"
"A09AA02","multienzymes (lipase, protease etc.)"
"M01AC05","lornoxicam"
"N02CC06","eletriptan"
"L01XE03","erlotinib"
"N07AA02","pyridostigmine"
"H01CB03","lanreotide"
"L03AB05","interferon alfa-2b"
"C08CA06","nimodipine"
"R03BC01","cromoglicic acid"
"B03BA01","cyanocobalamin"
"N03AG06","tiagabine"
"R06AE03","cyclizine"
"G03HB01","cyproterone and estrogen"
