"LABEL","DESCRIPTION"
"A07EB01","cromoglicic acid"
"H03AA05","thyroid gland preparations"
"L04AC05","ustekinumab"
"A16AX03","sodium phenylbutyrate"
"M04AB01","probenecid"
"L01XE08","nilotinib"
"R01AA03","ephedrine"
"N05AX13","paliperidone"
"C07BB12","nebivolol and thiazides"
"B02BD06","von Willebrand factor and coagulation factor VIII in combination"
"L03AB01","interferon alfa natural"
"L03AX13","glatiramer acetate"
"A02BA01","cimetidine"
"B03BB01","folic acid"
"N06BA01","amfetamine"
"H03AA02","liothyronine sodium"
"J05AH01","zanamivir"
"L01XB01","procarbazine"
"N05AB06","trifluoperazine"
"B02BD02","coagulation factor VIII"
"N03AF04","eslicarbazepine"
"G03GA01","chorionic gonadotrophin"
"N05AG02","pimozide"
"L01XX23","mitotane"
"L01BC53","tegafur, combinations"
"N02BA11","diflunisal"
"A07AA11","rifaximin"
"N07XX06","tetrabenazine"
"G03XA01","danazol"
"B01AA02","phenindione"
"L01XA02","carboplatin"
"L01BC05","gemcitabine"
"N02CX01","pizotifen"
"A10AE01","insulin (human)"
"N03AG04","vigabatrin"
"L01XE06","dasatinib"
"N05AH05","asenapine"
"L01XX09","miltefosine"
"L03AB07","interferon beta-1a"
"N03AD01","ethosuximide"
"N05AG03","penfluridol"
"N03AX15","zonisamide"
"A08AX01","rimonabant"
"L01CD02","docetaxel"
"J01XB01","colistin"
"R05FB02","cough suppressants and expectorants"
"G03AC06","medroxyprogesterone"
"B01AC06","acetylsalicylic acid"
"H05BX02","paricalcitol"
"N04BX01","tolcapone"
"B02BX04","romiplostim"
"N01BX04","capsaicin"
"R06AE53","cyclizine, combinations"
"C02KX02","ambrisentan"
"N02BA14","guacetisal"
"J06BA01","immunoglobulins, normal human, for extravascular adm."
"J01GB01","tobramycin"
"B02BX05","eltrombopag"
"C02KX01","bosentan"
"H01CA02","nafarelin"
"M05BA03","pamidronic acid"
"N03AX18","lacosamide"
"G03GA06","follitropin beta"
"P01BA01","chloroquine"
"C09CA04","irbesartan"
"L01DB06","idarubicin"
"C04AX02","phenoxybenzamine"
"L02AB01","megestrol"
"J01CE01","benzylpenicillin"
"N06BA07","modafinil"
"N07XX04","sodium oxybate"
"N05BB01","hydroxyzine"
"R06AX25","mizolastine"
"L01XD03","methyl aminolevulinate"
"L03AB08","interferon beta-1b"
"N06BX03","piracetam"
"L01XE07","lapatinib"
"J02AC04","posaconazole"
"G03DA04","progesterone"
"H01AC01","somatropin"
"H03BA02","propylthiouracil"
"J01CE09","procaine benzylpenicillin"
"G02AB01","methylergometrine"
"A03CA05","glycopyrronium bromide and psycholeptics"
"A03BB01","butylscopolamine"
"A08AA10","sibutramine"
"L02BX03","abiraterone"
"A04AD12","aprepitant"
"A10AB02","insulin (beef)"
"N02CC02","naratriptan"
"J02AC03","voriconazole"
"C05AA05","betamethasone"
"M04AC01","colchicine"
"N06BA04","methylphenidate"
"B01AC11","iloprost"
"N07BB04","naltrexone"
"R01AC03","azelastine"
"C09AA16","imidapril"
"B01AF02","apixaban"
"A10AE02","insulin (beef)"
"A10BH05","linagliptin"
"N02AA03","hydromorphone"
"N03AA03","primidone"
"L01BC04","carmofur"
"L01XX17","topotecan"
"B01AC24","ticagrelor"
"N07XX02","riluzole"
"A10BD04","glimepiride and rosiglitazone"
"A10BX04","exenatide"
"G03FB11","trimegestone and estrogen"
"G04BE04","yohimbine"
"R01AC07","nedocromil"
"L04AD02","tacrolimus"
"L01XE02","gefitinib"
"N05AE03","sertindole"
"L04AB05","certolizumab pegol"
"R03BA07","mometasone"
"L04AX04","lenalidomide"
"C10AC02","colestipol"
"B01AC22","prasugrel"
"L04AB06","golimumab"
"G02CB03","cabergoline"
"C09BB10","trandolapril and verapamil"
"A04AA03","tropisetron"
"H05AA03","parathyroid hormone"
"J01DD04","ceftriaxone"
"L03AA10","lenograstim"
"B01AC05","ticlopidine"
"C09DB02","olmesartan medoxomil and amlodipine"
"A12AA07","calcium chloride"
"R03AK08",
"N05BA09","clobazam"
"N02CC07","frovatriptan"
"R03CA02","ephedrine"
"C07AG01","labetalol"
"R05CB02","bromhexine"
"A08AB01","orlistat"
"N01BB02","lidocaine"
"C05BA04","pentosan polysulfate sodium"
"L04AC03","anakinra"
"G04BE01","alprostadil"
"L04AB01","etanercept"
"G03DB01","dydrogesterone"
"L01XE10","everolimus"
"N06AX22","agomelatine"
"L01XE05","sorafenib"
"L01XE11","pazopanib"
"C02DC01","minoxidil"
"N05AE04","ziprasidone"
"L01AB01","busulfan"
"C09XA02","aliskiren"
"A02BA07","ranitidine bismuth citrate"
"A09AA02","multienzymes (lipase, protease etc.)"
"N02CC06","eletriptan"
"M01AE14","dexibuprofen"
"M01AC05","lornoxicam"
"L01XE03","erlotinib"
"N07AA02","pyridostigmine"
"H01CB03","lanreotide"
"L03AB05","interferon alfa-2b"
"R06AE03","cyclizine"
"R03BC01","cromoglicic acid"
"N04BC09","rotigotine"
"B03BA01","cyanocobalamin"
"N03AG06","tiagabine"
"G04BE08","tadalafil"
"N07BC02","methadone"
"C08CA06","nimodipine"
"G03HB01","cyproterone and estrogen"
"H01CB02","octreotide"
"R03AC18","indacaterol"
"C10AB04","gemfibrozil"
"L01AX03","temozolomide"
"G04BE09","vardenafil"
"A02BB01","misoprostol"
"N05AN01","lithium"
"R03CC03","terbutaline"
"N04BC02","pergolide"
"N02CC05","almotriptan"
"G02BA03","plastic IUD with progestogen"
"G03FA17","drospirenone and estrogen"
"N02CC04","rizatriptan"
"L01DB03","epirubicin"
"A10BX07","liraglutide"
"A10BX03","nateglinide"
"A10BH03","saxagliptin"
"L02BB01","flutamide"
"L04AX02","thalidomide"
"N05AB02","fluphenazine"
"J01XX08","linezolid"
"M03BX01","baclofen"
"R01AC02","levocabastine"
"L02AE01","buserelin"
"L01CB01","etoposide"
"G04BE03","sildenafil"
"B03XA03","methoxy polyethylene glycol-epoetin beta"
"G03DB02","megestrol"
"A07EC03","olsalazine"
"R03DA05","aminophylline"
"J05AH02","oseltamivir"
"A10BD05","metformin and pioglitazone"
"L02AB02","medroxyprogesterone"
"L04AA06","mycophenolic acid"
"C01BA01","quinidine"
"A06AD12","lactitol"
"L02BA03","fulvestrant"
"B01AB10","tinzaparin"
"G03DC03","lynestrenol"
"B01AE05","ximelagatran"
"C09BB05","ramipril and felodipine"
"C10AB02","bezafibrate"
"M03AX01","botulinum toxin"
"L04AB04","adalimumab"
"N02AA01","morphine"
"M01CB03","auranofin"
"N06AX12","bupropion"
"H05AA02","teriparatide"
"N06AX17","milnacipran"
"C09BB02","enalapril and lercanidipine"
"G04BD01","emepronium"
"G03CA57","conjugated estrogens"
"R03BB02","oxitropium bromide"
