"LABEL","DESCRIPTION"
"N03AF04","eslicarbazepine"
"N06BA01","amfetamine"
"N05AB06","trifluoperazine"
"B03BB01","folic acid"
"B02BD02","coagulation factor VIII"
"L01XB01","procarbazine"
"H03AA02","liothyronine sodium"
"G03GA01","chorionic gonadotrophin"
"N05AG02","pimozide"
"J05AH01","zanamivir"
"A02BA01","cimetidine"
"M04AB01","probenecid"
"A07EB01","cromoglicic acid"
"L01XE08","nilotinib"
"A16AX03","sodium phenylbutyrate"
"N05AX13","paliperidone"
"L04AC05","ustekinumab"
"B02BD06","von Willebrand factor and coagulation factor VIII in combination"
"R01AA03","ephedrine"
"C07BB12","nebivolol and thiazides"
"H03AA05","thyroid gland preparations"
"L03AX13","glatiramer acetate"
"L03AB01","interferon alfa natural"
"L01XX23","mitotane"
"N02BA11","diflunisal"
"B01AA02","phenindione"
"L01BC53","tegafur, combinations"
"G03XA01","danazol"
"N07XX06","tetrabenazine"
"L01XA02","carboplatin"
"A07AA11","rifaximin"
"N02CX01","pizotifen"
"A10AE01","insulin (human)"
"L01BC05","gemcitabine"
"L01XX09","miltefosine"
"N03AG04","vigabatrin"
"N03AD01","ethosuximide"
"N05AH05","asenapine"
"L01XE06","dasatinib"
"L01CD02","docetaxel"
"J01XB01","colistin"
"A08AX01","rimonabant"
"R05FB02","cough suppressants and expectorants"
"L03AB07","interferon beta-1a"
"N05AG03","penfluridol"
"N03AX15","zonisamide"
"G03AC06","medroxyprogesterone"
"B01AC06","acetylsalicylic acid"
"J06BA01","immunoglobulins, normal human, for extravascular adm."
"N01BX04","capsaicin"
"H05BX02","paricalcitol"
"N04BX01","tolcapone"
"N02BA14","guacetisal"
"R06AE53","cyclizine, combinations"
"C02KX02","ambrisentan"
"J01GB01","tobramycin"
"B02BX04","romiplostim"
"B02BX05","eltrombopag"
"N03AX18","lacosamide"
"M05BA03","pamidronic acid"
"C02KX01","bosentan"
"N06BA07","modafinil"
"G03GA06","follitropin beta"
"H01CA02","nafarelin"
"P01BA01","chloroquine"
"R06AX25","mizolastine"
"L01DB06","idarubicin"
"L01XD03","methyl aminolevulinate"
"J01CE01","benzylpenicillin"
"L02AB01","megestrol"
"C09CA04","irbesartan"
"N07XX04","sodium oxybate"
"C04AX02","phenoxybenzamine"
"H03BA02","propylthiouracil"
"L03AB08","interferon beta-1b"
"N05BB01","hydroxyzine"
"N06BX03","piracetam"
"L01XE07","lapatinib"
"H01AC01","somatropin"
"G03DA04","progesterone"
"J01CE09","procaine benzylpenicillin"
"J02AC04","posaconazole"
"N06BA04","methylphenidate"
"A04AD12","aprepitant"
"M04AC01","colchicine"
"N02CC02","naratriptan"
"N07BB04","naltrexone"
"R01AC03","azelastine"
"A10AE02","insulin (beef)"
"A03CA05","glycopyrronium bromide and psycholeptics"
"G02AB01","methylergometrine"
"B01AC11","iloprost"
"A03BB01","butylscopolamine"
"J02AC03","voriconazole"
"L02BX03","abiraterone"
"A08AA10","sibutramine"
"B01AF02","apixaban"
"C05AA05","betamethasone"
"A10AB02","insulin (beef)"
"C09AA16","imidapril"
"L04AD02","tacrolimus"
"L04AB06","golimumab"
"L01XE02","gefitinib"
"R03BA07","mometasone"
"C09BB10","trandolapril and verapamil"
"C10AC02","colestipol"
"G02CB03","cabergoline"
"N05AE03","sertindole"
"B01AC22","prasugrel"
"L04AB05","certolizumab pegol"
"L04AX04","lenalidomide"
"L01XX17","topotecan"
"N07XX02","riluzole"
"G04BE04","yohimbine"
"L01BC04","carmofur"
"N03AA03","primidone"
"A10BD04","glimepiride and rosiglitazone"
"B01AC24","ticagrelor"
"G03FB11","trimegestone and estrogen"
"N02AA03","hydromorphone"
"A10BH05","linagliptin"
"A10BX04","exenatide"
"R01AC07","nedocromil"
"H05AA03","parathyroid hormone"
"A04AA03","tropisetron"
"C09DB02","olmesartan medoxomil and amlodipine"
"J01DD04","ceftriaxone"
"B01AC05","ticlopidine"
"R03AK08",
"C07AG01","labetalol"
"L03AA10","lenograstim"
"A12AA07","calcium chloride"
"N02CC07","frovatriptan"
"R03CA02","ephedrine"
"G03DB01","dydrogesterone"
"R05CB02","bromhexine"
"L01XE05","sorafenib"
"N01BB02","lidocaine"
"A08AB01","orlistat"
"L04AB01","etanercept"
"N05BA09","clobazam"
"C05BA04","pentosan polysulfate sodium"
"L01XE10","everolimus"
"G04BE01","alprostadil"
"L04AC03","anakinra"
"N06AX22","agomelatine"
"L01XE11","pazopanib"
"M01AE14","dexibuprofen"
"A02BA07","ranitidine bismuth citrate"
"N05AE04","ziprasidone"
"C02DC01","minoxidil"
"C09XA02","aliskiren"
"N02CC06","eletriptan"
"A09AA02","multienzymes (lipase, protease etc.)"
"L01AB01","busulfan"
"M01AC05","lornoxicam"
"L01XE03","erlotinib"
"H01CB03","lanreotide"
"N07AA02","pyridostigmine"
"L03AB05","interferon alfa-2b"
"R03BC01","cromoglicic acid"
"C10AB04","gemfibrozil"
"N04BC09","rotigotine"
"N03AG06","tiagabine"
"N02CC05","almotriptan"
"G04BE08","tadalafil"
