VARIABLE1_LABEL,VARIABLE2_LABEL,EFFECT,EFFECT_L95,EFFECT_U95,N,P,P_ADJ,Drug1,Drug2,Drug1_N,Drug1_LCI95,Drug1_UCI95,Drug1_OR,Drug1_P,Drug1_PFDR,Drug2_N,Drug2_LCI95,Drug2_UCI95,Drug2_OR,Drug2_P,Drug2_PFDR,Interaction_Event_N,Name,Type,Magnitude
A04AA02,A10AB05,0.001948415,7.07E-42,5.37E+35,7,0.8901,1,A03CA05,A07EA02,287,2.987184914,29.07460878,9.319400879,0.000121,0.000581392,4945,0.581986587,2.563929713,1.221545211,0.5968,0.645141171,0,glycopyrronium bromide and psycholeptics / hydrocortisone,++ -,NORMAL
A10AB06,A04AA01,0.002271436,1.49E-30,3.46E+24,14,0.8488,1,A03CA05,A02BA04,287,3.06403559,29.83203218,9.560669869,0.000101,0.000490595,16040,0.651190826,1.601919555,1.021349753,0.9267,0.941626336,0,glycopyrronium bromide and psycholeptics / nizatidine,++ -,NORMAL
A10AD01,A10BB07,0.002383535,1.42E-22,3.99787E+16,28,0.789,1,A03CA05,A03CA02,287,3.229894737,31.46838019,10.08164449,6.93E-05,0.000343222,45756,0.697184353,1.221550812,0.922846744,0.575,0.624833952,0,glycopyrronium bromide and psycholeptics / clidinium and psycholeptics,-+ -,NORMAL
A10AB06,A10AE04,0.001210234,6.63E-30,2.21E+23,15,0.828,1,A03CA05,A02BX02,287,3.077548353,29.96499086,9.603057235,9.77E-05,0.00047555,16734,1.382913941,2.637504108,1.909827532,8.56E-05,0.000150171,0,glycopyrronium bromide and psycholeptics / sucralfate,++ -,NORMAL
A03BA03,A03CA02,0.002020382,4.33E-28,9.42E+21,17,0.83,1,A03CA05,A10BA02,287,3.131618396,30.49473041,9.772300585,8.64E-05,0.000422892,1658920,1.086416296,1.186811373,1.135504828,1.74E-08,3.91E-08,0,glycopyrronium bromide and psycholeptics / metformin,++ -,NORMAL
A10AE04,A01AB04,0.001284929,1.61E-37,1.02E+31,9,0.867,1,A03CA05,A02BC03,287,3.061544621,29.80116464,9.551837275,0.000101,0.000490595,437068,1.721322722,1.964570151,1.83892883,5.92E-73,3.97E-72,0,glycopyrronium bromide and psycholeptics / lansoprazole,++ -,NORMAL
A04AA03,A04AA02,0.001431202,5.21E-42,3.93E+35,7,0.885,1,A03CA05,A06AC01,287,3.007563201,29.27302306,9.382988167,0.000115,0.000554489,216101,1.508873212,1.832852643,1.662991959,1.18E-24,4.22E-24,0,glycopyrronium bromide and psycholeptics / ispaghula (psylla seeds),++ -,NORMAL
A07AA09,A10AB05,0.001300272,1.84E-54,9.17E+47,4,0.911,1,A03CA05,A03FA01,287,2.963950883,28.84472685,9.246315677,0.000127,0.000607935,72453,1.579687707,2.167198217,1.850269273,2.38E-14,6.36E-14,0,glycopyrronium bromide and psycholeptics / metoclopramide,++ -,NORMAL
A02BD02,A06AC01,0.000997679,3.30E-49,3.02E+42,5,0.897,1,A03CA05,A02BC02,287,3.119525983,30.36043651,9.73191505,8.86E-05,0.000432989,770822,2.29619426,2.514434139,2.402837747,0,0,0,glycopyrronium bromide and psycholeptics / pantoprazole,++ -,NORMAL
A02BA04,A10AB01,0.001246177,4.12E-49,3.77E+42,5,0.9,1,A03CA05,A06AD11,287,3.019914282,29.39075747,9.421123513,0.000112,0.000541006,412188,1.799840668,2.056068362,1.923693181,9.86E-83,7.92E-82,0,glycopyrronium bromide and psycholeptics / lactulose,++ -,NORMAL
A10AC01,A04AA01,0.523732667,1.09E-80,2.52E+79,13,0.994,1,A03BB01,A02BX02,175,5.75E-25,1.56822E+19,0.003003426,0.82,0.901961579,16734,1.382583448,2.636873646,1.909371063,8.61E-05,0.00015098,0,butylscopolamine / sucralfate,-+ -,NORMAL
A10AE04,A07EC01,0.601345038,1.07E-59,3.39E+58,26,0.994,1,A03BB01,A06AC01,175,6.84E-26,1.34E+20,0.00302187,0.827,0.904722262,216101,1.508824982,1.832794067,1.662938807,1.19E-24,4.26E-24,0,butylscopolamine / ispaghula (psylla seeds),-+ -,NORMAL
A10BD03,A02BD07,2462.109427,0,Inf,5,0.984,1,A08AA10,A08AB01,205,3.00E-57,5.50E+49,0.000406156,0.9,0.940519892,768,2.55E-31,6.47E+23,0.000406156,0.807,0.841999194,0,sibutramine / orlistat,-- +,NORMAL
A10AD01,A07EC01,1.255838145,2.97E-90,5.31E+89,10,0.998,1,A08AA10,A10BD03,205,4.81E-23,1.87152E+17,0.003000407,0.803,0.897734487,28120,0.541956966,1.169951496,0.796280957,0.246,0.301470354,0,sibutramine / metformin and rosiglitazone,-- +,NORMAL
A07EC02,A10BB12,0.48245104,2.78E-83,8.38E+81,12,0.994,1,A08AA10,A10AE04,205,3.84E-23,2.39253E+17,0.003030693,0.804,0.897734487,190759,1.888729405,2.274698093,2.072749183,2.78E-53,1.48E-52,0,sibutramine / insulin glargine,-+ -,NORMAL
A02BD02,A02BD07,0.743884332,4.51E-69,1.23E+68,18,0.997,1,A08AA10,A10AC01,205,1.85E-23,4.94975E+17,0.003023981,0.807,0.898480412,458569,1.247512392,1.448586085,1.344295017,8.42E-15,2.31E-14,0,sibutramine / insulin (human),-+ -,NORMAL
A02BA07,A02BC03,0.886343238,1.49E-161,5.26E+160,3,0.999,1,A08AA10,A07EC02,205,1.07E-22,8.44302E+16,0.003002545,0.799,0.897402606,71045,0.920246915,1.383221586,1.128231092,0.246,0.301470354,0,sibutramine / mesalazine,-+ -,NORMAL
A10AB04,A10AB05,0.880754257,2.86E-42,2.71E+41,65,0.998,1,A08AA10,A10BA02,205,1.32E-26,6.98E+20,0.003033603,0.833,0.906795117,1658920,1.086306428,1.186692365,1.135390481,1.79E-08,4.01E-08,0,sibutramine / metformin,-+ -,NORMAL
A10BB07,A06AC01,0.724833087,4.18E-83,1.26E+82,12,0.997,1,A08AA10,A10BB12,205,3.85E-23,2.40195E+17,0.003042623,0.804,0.897734487,756692,1.301627373,1.462302788,1.37962797,2.28E-27,8.74E-27,0,sibutramine / glimepiride,-+ -,NORMAL
A02BB01,A06AC01,1.501720562,2.53E-161,8.92E+160,3,0.998,1,A08AA10,A02BD07,205,1.07E-22,8.43828E+16,0.003000859,0.799,0.897402606,7760,0.299041632,1.482825654,0.665902848,0.32,0.375678549,0,"sibutramine / lansoprazole, amoxicillin and clarithromycin",-- +,NORMAL
A02BD03,A10BB01,0.690891653,4.83E-126,9.88E+124,5,0.998,1,A08AA10,A02BA02,205,8.56E-23,1.05762E+17,0.003008272,0.8,0.897477273,109219,1.251339111,1.674191334,1.447404952,6.39E-07,1.28E-06,0,sibutramine / ranitidine,-+ -,NORMAL
A03FA02,A02BX02,0.463585244,3.99E-66,5.39E+64,20,0.992,1,A08AA10,A02BC05,205,1.47E-23,6.4974E+17,0.003088623,0.809,0.89911057,524626,2.038676373,2.28240391,2.157100583,7.02E-157,6.91E-156,0,sibutramine / esomeprazole,-+ -,NORMAL
A02BD03,A10BA02,0.54384505,3.66E-62,8.08E+60,23,0.993,1,A08AA10,A02BC03,205,9.89E-24,9.43322E+17,0.003054024,0.81,0.899528708,437068,1.721163883,1.96438865,1.838759037,6.22E-73,4.15E-72,0,sibutramine / lansoprazole,-+ -,NORMAL
