VARIABLE1_LABEL,EFFECT,EFFECT_L95,EFFECT_U95,N,P,P_ADJ
A01AB04,0.022177273,2.75E-74,1.79E+70,2,0.964,0.97838806
A01AB09,0.022177232,1.85E-18,2.65906E+14,40,0.84,0.97838806
A01AC01,0.022177258,8.38E-28,5.87E+23,16,0.899,0.97838806
A02BA01,0.022177268,6.77E-44,7.27E+39,6,0.938,0.97838806
A02BA02,0.008158313,2.05E-19,3.25338E+14,102,0.805,0.97838806
A02BA03,0.022177274,4.51E-104,1.09E+100,1,0.975,0.982222222
A02BA04,0.022177268,6.77E-44,7.27E+39,6,0.938,0.97838806
A02BA07,0.02217725,1.39E-23,3.54836E+19,23,0.878,0.97838806
A02BB01,0.008158313,2.05E-19,3.25338E+14,102,0.805,0.97838806
A02BC01,0.022177273,2.75E-74,1.79E+70,2,0.964,0.97838806
A02BC02,0.022177273,2.75E-74,1.79E+70,2,0.964,0.97838806
A02BC03,43.01929364,5.773298896,320.554965,21,0.000242,0.000968
A02BC04,0.022177236,2.50E-19,1.97003E+15,36,0.848,0.97838806
A02BC05,0.022177248,1.02E-22,4.83264E+18,25,0.873,0.97838806
A02BD02,0.022177257,4.81E-27,1.02E+23,17,0.895,0.97838806
A02BD03,0.022177267,8.13E-41,6.05E+36,7,0.933,0.97838806
A02BD07,0.022177266,2.47E-38,1.99E+34,8,0.928,0.97838806
A02BX02,0.022177231,2.91E-18,1.68824E+14,41,0.838,0.97838806
A03BA03,0.02217726,1.47E-29,3.34E+25,14,0.905,0.97838806
A03BB01,0.022177271,3.16E-53,1.55E+49,4,0.949,0.97838806
A03CA02,0.022177274,4.51E-104,1.09E+100,1,0.975,0.982222222
A03CA05,0.00815831,9.96E-19,6.68509E+13,111,0.797,0.97838806
A03FA01,0.008158328,6.15E-24,1.08312E+19,63,0.846,0.97838806
A03FA02,0.022177262,9.78E-32,5.03E+27,12,0.912,0.97838806
A04AA01,0.022177262,9.78E-32,5.03E+27,12,0.912,0.97838806
A04AA02,0.02217725,1.39E-23,3.54836E+19,23,0.878,0.97838806
A04AA03,0.022177274,4.51E-104,1.09E+100,1,0.975,0.982222222
A04AD12,0.00815833,7.89E-25,8.43981E+19,58,0.853,0.97838806
A05AA02,0.022177264,1.54E-34,3.19E+30,10,0.92,0.97838806
A06AC01,0.022177267,8.13E-41,6.05E+36,7,0.933,0.97838806
A06AC51,0.022177265,2.81E-36,1.75E+32,9,0.924,0.97838806
A06AD11,0.003001243,1.38E-27,6.53E+21,129,0.839,0.97838806
A06AD12,5.852929366,0.818962161,41.82950543,148,0.0783,0.196472325
A07AA02,0.022177263,4.84E-33,1.02E+29,11,0.916,0.97838806
A07AA09,0.022177272,4.31E-61,1.14E+57,3,0.956,0.97838806
A07AA11,0.008158315,9.45E-20,7.04267E+14,98,0.809,0.97838806
A07DA03,0.008158316,4.16E-20,1.60076E+15,94,0.813,0.97838806
A07EA02,0.022177273,2.75E-74,1.79E+70,2,0.964,0.97838806
A07EA06,0.022177252,1.43E-24,3.44E+20,21,0.884,0.97838806
A07EB01,0.022177267,8.13E-41,6.05E+36,7,0.933,0.97838806
A07EC01,0.008158336,2.21E-28,3.02E+23,43,0.873,0.97838806
A07EC02,0.008158335,8.29E-28,8.03E+22,45,0.87,0.97838806
A07EC03,0.022177267,8.13E-41,6.05E+36,7,0.933,0.97838806
A08AA10,0.001104076,9.73E-26,1.25297E+19,427,0.793,0.97838806
A08AB01,0.003001231,4.67E-22,1.92956E+16,216,0.793,0.97838806
A08AX01,0.003001241,2.77E-26,3.25E+20,144,0.83,0.97838806
A09AA02,0.008158336,4.33E-28,1.54E+23,44,0.871,0.97838806
A10AB01,0.022177268,6.77E-44,7.27E+39,6,0.938,0.97838806
A10AB02,0.008158322,1.12E-21,5.95298E+16,79,0.828,0.97838806
A10AB04,0.022177253,4.05E-25,1.22E+21,20,0.887,0.97838806
A10AB05,0.008158333,4.59E-26,1.45E+21,52,0.86,0.97838806
A10AB06,19.1196631,2.63545394,138.7091277,46,0.00352,0.012028141
A10AC01,0.008158317,3.36E-20,1.98175E+15,93,0.814,0.97838806
A10AD01,0.022177273,2.75E-74,1.79E+70,2,0.964,0.97838806
A10AD04,0.022177272,4.31E-61,1.14E+57,3,0.956,0.97838806
A10AD05,0.022177253,4.05E-25,1.22E+21,20,0.887,0.97838806
A10AE01,0.022177272,4.31E-61,1.14E+57,3,0.956,0.97838806
A10AE02,0.022177269,7.38E-48,6.66E+43,5,0.943,0.97838806
A10AE04,11.47178128,1.594982484,82.5098502,76,0.0154,0.046542222
A10AE05,0.008158326,3.80E-23,1.75092E+18,68,0.84,0.97838806
A10BA02,0.022177231,2.91E-18,1.68824E+14,41,0.838,0.97838806
A10BB01,0.003001234,4.81E-23,1.87204E+17,195,0.803,0.97838806
A10BB07,0.022177267,8.13E-41,6.05E+36,7,0.933,0.97838806
A10BB12,0.022177272,4.31E-61,1.14E+57,3,0.956,0.97838806
A10BD03,0.022177274,4.51E-104,1.09E+100,1,0.975,0.982222222
A10BD04,0.003001236,9.72E-24,9.27017E+17,182,0.809,0.97838806
A10BD05,0.022177271,3.16E-53,1.55E+49,4,0.949,0.97838806
A10BD07,0.022177267,8.13E-41,6.05E+36,7,0.933,0.97838806
A10BD08,0.022177269,7.38E-48,6.66E+43,5,0.943,0.97838806
A10BG02,0.003001245,1.37E-28,6.56E+22,119,0.845,0.97838806
A10BG03,0.008158335,1.55E-27,4.28E+22,46,0.868,0.97838806
A10BH01,0.022177253,4.05E-25,1.22E+21,20,0.887,0.97838806
A10BH02,0.022177266,2.47E-38,1.99E+34,8,0.928,0.97838806
A10BH03,0.00815832,5.33E-21,1.24967E+16,85,0.822,0.97838806
A10BH05,0.008158325,1.42E-22,4.68195E+17,72,0.836,0.97838806
A10BX01,0.022177273,2.75E-74,1.79E+70,2,0.964,0.97838806
A10BX02,4.650697546,0.651630689,33.1920949,186,0.125,0.280528053
A10BX03,0.022177234,7.07E-19,6.95711E+14,38,0.844,0.97838806
A10BX04,0.003001243,1.38E-27,6.53E+21,129,0.839,0.97838806
A10BX07,0.001104079,2.24E-27,5.44E+20,370,0.807,0.97838806
A11CC02,0.022177255,2.38E-26,2.06E+22,18,0.892,0.97838806
A11CC03,0.022177252,1.43E-24,3.44E+20,21,0.884,0.97838806
A11DB,0.003001245,6.49E-29,1.39E+23,116,0.847,0.97838806
A12AA05,0.003001244,2.83E-28,3.19E+22,122,0.843,0.97838806
A12AA06,0.022177273,2.75E-74,1.79E+70,2,0.964,0.97838806
A12AA07,1.148672511,0.161591638,8.165326811,750,0.89,0.97838806
A12AA08,0.022177242,1.21E-20,4.07586E+16,31,0.859,0.97838806
A12AA10,2.325328101,0.326674778,16.55209138,371,0.399,0.702901554
A12AA12,0.003001239,2.22E-25,4.06257E+19,156,0.823,0.97838806
A12AX,9.089219897,2.913841839,28.35223149,287,0.000143,0.000592927
A12BA01,0.022177273,2.75E-74,1.79E+70,2,0.964,0.97838806
A14AB01,20.48535628,2.81936183,148.8456776,43,0.00284,0.009954639
A16AX03,0.003001237,3.82E-24,2.35975E+18,175,0.813,0.97838806
B01AA02,0.022177247,2.53E-22,1.94639E+18,26,0.871,0.97838806
B01AA03,0.022177232,1.85E-18,2.65906E+14,40,0.84,0.97838806
B01AB04,0.003001232,1.48E-22,6.07399E+16,205,0.798,0.97838806
B01AB05,0.02217726,1.47E-29,3.34E+25,14,0.905,0.97838806
B01AB10,0.022177259,1.23E-28,4.00E+24,15,0.902,0.97838806
B01AC04,0.022177268,6.77E-44,7.27E+39,6,0.938,0.97838806
B01AC05,0.001104075,3.62E-25,3.36451E+18,450,0.787,0.97838806
B01AC06,2.088320886,0.521377113,8.364548458,826,0.298,0.572429379
